Firmware;Hits;Bandwidth
/snapshots/targets/apm821xx/sata/openwrt-apm821xx-sata-wd_mybooklive-initramfs-kernel.bin;22;75.42 MB
/releases/18.06.1/targets/ramips/mt7620/openwrt-18.06.1-ramips-mt7620-hc5861-squashfs-sysupgrade.bin;22;37.07 MB
/snapshots/targets/ath79/mikrotik/openwrt-ath79-mikrotik-mikrotik_routerboard-921gs-5hpacd-15s-initramfs-kernel.bin;22;54.79 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-8devices_carambola-initramfs-kernel.bin;22;44.47 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_tl-wpa8630p-v2.0-eu-initramfs-kernel.bin;22;62.22 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-wavlink_wl-wn530hg4-squashfs-sysupgrade.bin;22;57.58 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-ap121-16M-squashfs-sysupgrade.bin;22;92.67 MB
/snapshots/targets/lantiq/xrx200/openwrt-lantiq-xrx200-arcadyan_vgv7510kw22-brn-squashfs-factory.bin;22;67.74 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-ubnt_rocket-m-squashfs-sysupgrade.bin;22;56.60 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-openmesh_a62-squashfs-factory.bin;22;65.80 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-brcm_bcm96338gw-squashfs-cfe.bin;22;56.45 MB
/snapshots/targets/kirkwood/generic/openwrt-kirkwood-cloudengines_pogoplugv4-squashfs-sysupgrade.bin;22;54.28 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-microwrt-squashfs-sysupgrade.bin;22;56.83 MB
/snapshots/targets/mvebu/cortexa9/openwrt-mvebu-cortexa9-solidrun_clearfog-base-a1-kernel.bin;22;37.75 MB
/releases/18.06.8/targets/mvebu/cortexa9/openwrt-18.06.8-mvebu-cortexa9-armada-388-rd-initramfs-kernel.bin;22;29.10 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-buffalo_bhr-4grv-squashfs-tftp.bin;22;45.33 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-3g-6200n-squashfs-sysupgrade.bin;22;44.30 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tplink_re200-v3-initramfs-kernel.bin;22;57.77 MB
/snapshots/targets/lantiq/xway/openwrt-lantiq-xway-audiocodes_mp-252-initramfs-kernel.bin;22;52.08 MB
/releases/19.07.4/targets/brcm63xx/smp/openwrt-19.07.4-brcm63xx-smp-DGND3800B-squashfs-sysupgrade.bin;22;62.53 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-tl-wr1043nd-v4-squashfs-factory.bin;22;59.65 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-pcs_cr3000-initramfs-kernel.bin;22;58.10 MB
/snapshots/targets/at91/sama5/at91bootstrap-sama5d27_som1_eksd1_uboot/at91bootstrap.bin;22;319.43 KB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-zbt-we826-16M-initramfs-kernel.bin;22;51.59 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-ubnt_acb-isp-squashfs-sysupgrade.bin;22;56.60 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-ocedo_koala-squashfs-sysupgrade.bin;22;59.41 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-iodata_wn-ac1167dgr-squashfs-sysupgrade.bin;22;52.78 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-ubnt_nanobridge-m-initramfs-kernel.bin;22;58.01 MB
/releases/19.07.3/targets/mpc85xx/p1020/openwrt-19.07.3-mpc85xx-p1020-hiveap-330-initramfs-kernel.bin;22;50.48 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tplink_tl-wr902ac-v3-initramfs-kernel.bin;22;49.41 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_tl-wr1043nd-v4-initramfs-kernel.bin;22;57.91 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-skylab_skw92a-initramfs-kernel.bin;22;49.26 MB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-cloudengines_pogoplugv4-squashfs-factory.bin;22;51.67 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-qxwlan_e750g-v8-16m-initramfs-kernel.bin;22;58.07 MB
/releases/17.01.0/targets/ar71xx/mikrotik/lede-17.01.0-r3205-59508e3-ar71xx-mikrotik-nand-large-squashfs-sysupgrade.bin;22;40.53 MB
/releases/18.06.8/targets/ar71xx/mikrotik/openwrt-18.06.8-ar71xx-mikrotik-rb-nor-flash-16M-kernel.bin;22;15.77 MB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-seagate_goflexhome-squashfs-sysupgrade.bin;22;41.06 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_eap225-wall-v2-initramfs-kernel.bin;22;57.96 MB
/releases/18.06.8/targets/ramips/rt3883/openwrt-18.06.8-ramips-rt3883-rt-n56u-squashfs-sysupgrade.bin;22;43.47 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v3-squashfs-sysupgrade.bin;22;52.65 MB
/releases/19.07.4/targets/lantiq/xway/openwrt-19.07.4-lantiq-xway-arcadyan_arv7519pw-squashfs-sysupgrade.bin;22;55.03 MB
/snapshots/targets/at91/sama5/at91bootstrap-sama5d2_xplaineddf_uboot/at91bootstrap.bin;22;183.35 KB
/releases/18.06.8/targets/ipq40xx/generic/openwrt-18.06.8-ipq40xx-asus_rt-ac58u-squashfs-sysupgrade.bin;22;52.43 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-zbtlink_zbt-we1026-h-32m-squashfs-sysupgrade.bin;22;61.55 MB
/releases/18.06.8/targets/ramips/rt305x/openwrt-18.06.8-ramips-rt305x-dcs-930l-b1-initramfs-uImage.bin;22;33.18 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-c108-initramfs-kernel.bin;22;35.78 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-brcm_bcm963281tan-squashfs-cfe-16M.bin;22;94.69 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-DVAG3810BN-squashfs-cfe.bin;22;57.40 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-tl-wdr3500-v1-squashfs-factory.bin;22;88.56 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-wpj344-squashfs-sysupgrade.bin;22;33.79 MB
/releases/19.07.2/targets/ramips/rt305x/openwrt-19.07.2-ramips-rt305x-wt1520-4M-squashfs-factory.bin;22;58.25 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-brcm_bcm96368mvngr-squashfs-cfe.bin;22;60.87 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c25-v1-initramfs-kernel.bin;22;57.84 MB
/releases/17.01.7/targets/ramips/mt7620/lede-17.01.7-ramips-mt7620-miwifi-mini-squashfs-sysupgrade.bin;22;49.95 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-hootoo_ht-tm02-squashfs-sysupgrade.bin;22;56.66 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_wbs210-v1-squashfs-sysupgrade.bin;22;97.55 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-vocore_vocore2-lite-squashfs-sysupgrade.bin;22;53.41 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-widora_neo-16m-initramfs-kernel.bin;22;53.96 MB
/releases/18.06.8/targets/ramips/mt7620/openwrt-18.06.8-ramips-mt7620-mt7620a-squashfs-sysupgrade.bin;22;40.94 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-buffalo_bhr-4grv-initramfs-kernel.bin;22;41.44 MB
/releases/19.07.4/targets/oxnas/ox820/openwrt-19.07.4-oxnas-ox820-akitio_mycloud-squashfs-ubinized.bin;22;22.59 MB
/releases/18.06.8/targets/brcm63xx/smp/openwrt-18.06.8-brcm63xx-smp-96345GW2-generic-squashfs-cfe-bc221.bin;22;24.78 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-allnet_all5003-initramfs-kernel.bin;22;51.28 MB
/releases/18.06.8/targets/mediatek/mt7622/openwrt-18.06.8-mediatek-mt7622-MTK-RFB1-squashfs-sysupgrade.bin;22;55.89 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_wbs510-v2-squashfs-sysupgrade.bin;22;90.36 MB
/snapshots/targets/mediatek/mt7623/u-boot-mt7623n_bpir2/u-boot.bin;22;6.18 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-dir-615-h1-initramfs-kernel.bin;22;41.83 MB
/snapshots/targets/bcm47xx/legacy/openwrt-bcm47xx-legacy-netgear_wgt634u-squashfs.bin;22;53.31 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-hak5_lan-turtle-squashfs-sysupgrade.bin;22;57.78 MB
/releases/18.06.8/targets/brcm63xx/generic/openwrt-18.06.8-brcm63xx-generic-AR5387un-squashfs-sysupgrade.bin;22;33.28 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-iodata_wn-ac1167gr-initramfs-kernel.bin;22;54.97 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-brcm_bcm96358vw2-squashfs-cfe.bin;22;64.59 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-vocore2lite-squashfs-sysupgrade.bin;22;49.69 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-x5-squashfs-sysupgrade.bin;22;44.53 MB
/snapshots/targets/at91/sam9x/openwrt-at91-sam9x-calao_usb-a9260-ubifs-factory.bin;22;87.61 MB
/snapshots/targets/mediatek/mt7623/u-boot-mt7623a_unielec_u7623/u-boot-mtk.bin;22;6.21 MB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-cznic_turris-omnia-initramfs-kernel.bin;22;43.58 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-argus_atp-52b-squashfs-sysupgrade.bin;22;44.59 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-archer-c7-v1-squashfs-factory.bin;22;79.03 MB
/snapshots/targets/kirkwood/generic/openwrt-kirkwood-linksys_e4200-v2-squashfs-factory.bin;22;65.56 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-broadway-squashfs-sysupgrade.bin;22;33.19 MB
/releases/18.06.8/targets/ramips/mt76x8/openwrt-18.06.8-ramips-mt76x8-zbtlink_zbt-we1226-squashfs-sysupgrade.bin;22;34.11 MB
/releases/19.07.4/targets/brcm47xx/legacy/openwrt-19.07.4-brcm47xx-legacy-linksys-wrt54gs-v4-squashfs.bin;22;42.03 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-all0305-squashfs-sysupgrade.bin;22;45.45 MB
/snapshots/targets/at91/sama5/at91bootstrap-sama5d3_xplainedsd_uboot/at91bootstrap.bin;22;334.37 KB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-zbtlink_zbt-we1026-5g-16m-initramfs-kernel.bin;22;52.63 MB
/snapshots/targets/layerscape/armv8_64b/openwrt-layerscape-armv8_64b-fsl_ls1088a-rdb-squashfs-sysupgrade.bin;22;161.19 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-huawei_hg255d-squashfs-sysupgrade.bin;22;58.60 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-cs-qr10-squashfs-sysupgrade.bin;22;51.33 MB
/releases/19.07.3/targets/ramips/mt76x8/openwrt-19.07.3-ramips-mt76x8-tplink_c20-v4-squashfs-tftp-recovery.bin;22;87.42 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-ubnt_nanobridge-m-squashfs-sysupgrade.bin;22;62.74 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-wf-2881-initramfs-kernel.bin;22;35.38 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-re350-v1-squashfs-sysupgrade.bin;22;47.67 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-antminer-s3-squashfs-factory.bin;22;89.87 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-brcm_bcm96328avng-squashfs-cfe-8M.bin;22;59.17 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-netgear_r6020-initramfs-kernel.bin;22;49.48 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-qxwlan_e558-v2-16m-squashfs-sysupgrade.bin;22;62.38 MB
/releases/17.01.7/targets/brcm47xx/mips74k/lede-17.01.7-brcm47xx-mips74k-linksys-e1000-v1-v2-v2.1-squashfs.bin;22;51.82 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-planex_mzk-750dhp-squashfs-sysupgrade.bin;22;57.97 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-zbtlink_zbt-we2026-initramfs-kernel.bin;22;54.14 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-d50-v1-initramfs-kernel.bin;22;58.30 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_tl-wdr4900-v2-squashfs-sysupgrade.bin;22;61.78 MB
/snapshots/targets/lantiq/xway/openwrt-lantiq-xway-netgear_dgn3500-squashfs-sysupgrade-na.bin;22;46.36 MB
/releases/19.07.4/targets/lantiq/xway/openwrt-19.07.4-lantiq-xway-zyxel_p-2601hn-squashfs-sysupgrade.bin;22;55.09 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-zbt-we1326-initramfs-kernel.bin;22;38.22 MB
/snapshots/targets/malta/le/lede-malta-le-vmlinux-initramfs.bin;22;62.27 MB
/releases/19.07.4/targets/lantiq/xway/openwrt-19.07.4-lantiq-xway-audiocodes_mp-252-squashfs-sysupgrade.bin;22;56.59 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-dlink_dir-859-a1-initramfs-kernel.bin;22;38.00 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-zbtlink_zbt-we826-e-squashfs-sysupgrade.bin;22;53.98 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v1-initramfs-kernel.bin;22;71.27 MB
/releases/19.07.4/targets/lantiq/xrx200/openwrt-19.07.4-lantiq-xrx200-tplink_vr200v-initramfs-kernel.bin;22;39.07 MB
/releases/17.01.0/targets/ar71xx/generic/lede-17.01.0-r3205-59508e3-ar71xx-generic-NBG6616-squashfs-sysupgrade.bin;22;27.56 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-hak5_lan-turtle-initramfs-kernel.bin;22;53.59 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-ubnt_nanostation-ac-squashfs-sysupgrade.bin;22;57.94 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-wiznet_wizfi630s-initramfs-kernel.bin;22;50.94 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-telco_t1-squashfs-sysupgrade.bin;22;70.28 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-argus_atp-52b-initramfs-kernel.bin;22;46.99 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-engenius_ens620ext-squashfs-factory_30.bin;22;94.69 MB
/snapshots/targets/lantiq/xway/openwrt-lantiq-xway-netgear_dgn3500b-squashfs-sysupgrade.bin;22;47.25 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-tama_w06-squashfs-sysupgrade.bin;22;50.12 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-alfa-network_r36m-e4g-initramfs-kernel.bin;22;45.81 MB
/snapshots/targets/mvebu/cortexa9/openwrt-mvebu-cortexa9-plathome_openblocks-ax3-4-squashfs-sysupgrade.bin;22;60.40 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-asl26555-16M-initramfs-kernel.bin;22;38.37 MB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-iom_iconnect-1.1-squashfs-factory.bin;22;51.78 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_re350k-v1-initramfs-kernel.bin;22;61.25 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-aximcom_mr-102n-squashfs-sysupgrade.bin;22;49.48 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-devolo_dvl1750i-initramfs-kernel.bin;22;41.56 MB
/snapshots/targets/at91/sama5/at91bootstrap-sama5d4_xplainednf_uboot_secure/at91bootstrap.bin;22;346.51 KB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-arcwireless_freestation5-initramfs-kernel.bin;22;48.06 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-dhp-1565-a1-squashfs-sysupgrade.bin;22;53.53 MB
/snapshots/targets/ramips/mt76x8/openwrt-ramips-mt76x8-onion_omega2-initramfs-kernel.bin;22;45.05 MB
/releases/18.06.8/targets/ramips/mt7620/openwrt-18.06.8-ramips-mt7620-ArcherC20i-squashfs-factory.bin;22;59.34 MB
/releases/18.06.8/targets/ramips/mt7621/openwrt-18.06.8-ramips-mt7621-r6220-squashfs-rootfs.bin;22;40.12 MB
/releases/18.06.8/targets/mvebu/cortexa9/openwrt-18.06.8-mvebu-cortexa9-linksys-wrt1200ac-squashfs-sysupgrade.bin;22;39.70 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-iodata_wn-ac1600dgr2-squashfs-factory.bin;22;57.02 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-8dev_carambola2-initramfs-kernel.bin;22;51.33 MB
/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-dlink_dwr-512-b-squashfs-factory.bin;22;56.83 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-ubnt_bullet-m-ar7241-squashfs-sysupgrade.bin;22;62.52 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-qxwlan_e750g-v8-16m-squashfs-sysupgrade.bin;22;62.24 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-wr6202-squashfs-sysupgrade.bin;22;38.83 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-mt7620a_v22sg-initramfs-kernel.bin;22;37.19 MB
/releases/18.06.8/targets/ar71xx/mikrotik/openwrt-18.06.8-ar71xx-mikrotik-nand-large-squashfs-sysupgrade.bin;22;44.40 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-mercury_mw4530r-v1-initramfs-kernel.bin;22;53.73 MB
/releases/19.07.4/targets/apm821xx/nand/openwrt-19.07.4-apm821xx-nand-netgear_wndap620-initramfs-kernel.bin;22;38.11 MB
/releases/18.06.8/targets/ramips/mt7620/openwrt-18.06.8-ramips-mt7620-gl-mt300n-squashfs-sysupgrade.bin;22;38.23 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-brcm_bcm963281tan-squashfs-cfe-4M.bin;22;48.31 MB
/snapshots/targets/x86/geode/openwrt-x86-geode-generic-kernel.bin;22;38.31 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-antrouter-r1-squashfs-sysupgrade.bin;22;44.86 MB
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-qxwlan_e2600ac-c1-squashfs-sysupgrade.bin;22;51.14 MB
/releases/18.06.5/targets/lantiq/xrx200/openwrt-18.06.5-lantiq-xrx200-arcadyan_vgv7510kw22-brn-squashfs-factory.bin;22;61.27 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c59-v2-initramfs-kernel.bin;22;57.79 MB
/snapshots/targets/ipq40xx/generic/openwrt-ipq40xx-generic-linksys_ea8300-squashfs-factory.bin;22;118.44 MB
/snapshots/targets/malta/be64/lede-malta-be64-vmlinux-initramfs.bin;22;101.82 MB
/snapshots/targets/at91/sama5/u-boot-sama5d27_som1_ek_qspiflash/u-boot.bin;22;6.87 MB
/releases/18.06.8/targets/apm821xx/nand/openwrt-18.06.8-apm821xx-nand-meraki_mr24-initramfs-kernel.bin;22;30.47 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-huawei_echolife-hg622-squashfs-sysupgrade.bin;22;63.45 MB
/snapshots/targets/mpc85xx/p1010/openwrt-mpc85xx-p1010-tplink_tl-wdr4900-v1-squashfs-factory.bin;22;176.08 MB
/releases/18.06.8/targets/ar7/ac49x/openwrt-18.06.8-ar7-ac49x-mp202-squashfs.bin;22;55.05 MB
/releases/18.06.8/targets/ramips/mt7621/openwrt-18.06.8-ramips-mt7621-rb750gr3-squashfs-sysupgrade.bin;22;29.43 MB
/releases/19.07.4/targets/ramips/rt305x/openwrt-19.07.4-ramips-rt305x-asl26555-8M-initramfs-kernel.bin;22;34.74 MB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-seagate_goflexnet-squashfs-sysupgrade.bin;22;41.07 MB
/releases/17.01.7/targets/ar71xx/generic/lede-17.01.7-ar71xx-generic-tl-wr841-v9-squashfs-factory.bin;22;69.11 MB
/snapshots/targets/lantiq/falcon/openwrt-lantiq-falcon-lantiq_easy98035synce-squashfs-sysupgrade.bin;22;45.58 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-buffalo_wzr-hp-g450h-squashfs-tftp.bin;22;41.73 MB
/releases/17.01.4/targets/ar71xx/generic/lede-17.01.4-ar71xx-generic-wndr3800-squashfs-sysupgrade.bin;22;24.03 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-ubnt_edgeswitch-5xp-initramfs-kernel.bin;22;58.02 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-engenius_ens202ext-v1-initramfs-kernel.bin;22;57.90 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-cpe210-v3-squashfs-sysupgrade.bin;22;89.88 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-hootoo_ht-tm05-initramfs-kernel.bin;22;52.84 MB
/releases/18.06.8/targets/mvebu/cortexa9/openwrt-18.06.8-mvebu-cortexa9-linksys-wrt1900acs-squashfs-sysupgrade.bin;22;63.37 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-huawei_echolife-hg556a-c-squashfs-cfe.bin;22;67.22 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-ubnt_bullet-m-xw-squashfs-sysupgrade.bin;22;50.52 MB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-netgear_wndrmac-v1-squashfs-sysupgrade.bin;22;62.67 MB
/releases/19.07.4/targets/ramips/mt7621/openwrt-19.07.4-ramips-mt7621-w2914nsv2-initramfs-kernel.bin;22;38.14 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-netgear_wndr3700v2-initramfs-kernel.bin;22;51.58 MB
/releases/18.06.8/targets/ar71xx/generic/openwrt-18.06.8-ar71xx-generic-NBG6616-squashfs-sysupgrade.bin;22;35.87 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-d-link_dva-g3810bn-tl-squashfs-cfe.bin;22;65.36 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-alfa-network_ac1200rm-initramfs-kernel.bin;22;51.87 MB
/releases/18.06.8/targets/brcm47xx/generic/openwrt-18.06.8-brcm47xx-generic-linksys-e3000-v1-squashfs.bin;22;26.97 MB
/snapshots/targets/lantiq/xrx200/openwrt-lantiq-xrx200-buffalo_wbmr-300hpd-squashfs-sysupgrade.bin;22;52.61 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-gl-inet-6408A-v1-squashfs-factory.bin;22;90.78 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-hootoo_ht-tm05-squashfs-rootfs.bin;22;60.25 MB
/releases/19.07.4/targets/ramips/rt288x/openwrt-19.07.4-ramips-rt288x-ar670w-squashfs-factory.bin;22;47.64 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-tew-732br-squashfs-sysupgrade.bin;22;58.42 MB
/releases/19.07.4/targets/octeon/generic/openwrt-19.07.4-octeon-erlite-initramfs-kernel.bin;22;169.52 MB
/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-comtrend_ar-5315u-squashfs-sysupgrade.bin;22;64.36 MB
/releases/18.06.8/targets/brcm63xx/generic/openwrt-18.06.8-brcm63xx-generic-AV4202N-squashfs-cfe.bin;22;30.00 MB
/snapshots/targets/lantiq/xway/u-boot-arv7506pw11_nor/u-boot.bin;22;2.96 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-iodata_wn-ac733gr3-squashfs-factory.bin;22;53.95 MB
/snapshots/targets/at91/sama5/at91bootstrap-sama5d2_ptc_eknf_uboot/at91bootstrap.bin;22;210.44 KB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_eap225-wall-v2-squashfs-sysupgrade.bin;22;68.08 MB
/releases/18.06.8/targets/brcm63xx/smp/openwrt-18.06.8-brcm63xx-smp-96348GW-generic-squashfs-cfe.bin;22;23.04 MB
/releases/19.07.4/targets/oxnas/ox820/openwrt-19.07.4-oxnas-ox820-cloudengines_pogoplug-series-3-squashfs-ubinized.bin;21;23.65 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-d240-initramfs-kernel.bin;21;38.17 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-zbt-cpe102-squashfs-sysupgrade.bin;21;50.48 MB
/releases/18.06.8/targets/ar71xx/generic/openwrt-18.06.8-ar71xx-generic-tl-wr710n-v1-squashfs-factory.bin;21;65.40 MB
/snapshots/targets/oxnas/ox820/openwrt-oxnas-ox820-shuttle_kd20-ubifs-ubinized.bin;21;66.50 MB
/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-dlink_dwr-922-e2-initramfs-kernel.bin;21;50.92 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-wt3020-8M-initramfs-kernel.bin;21;45.23 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wdr4300-v1-il-squashfs-factory.bin;21;95.33 MB
/releases/18.06.8/targets/lantiq/xway/openwrt-18.06.8-lantiq-xway-arcadyan_arv8539pw22-squashfs-sysupgrade.bin;21;26.84 MB
