Image;Hits;206 Hits;Hits combined;Bandwidth;Avg. Size
/releases/17.01.2/targets/ar71xx/nand/lede-17.01.2-ar71xx-nand-nbg6716-squashfs-sysupgrade.tar;4;0;4;4.84 MB;1.21 MB
/releases/17.01.2/targets/armvirt/generic/lede-17.01.2-armvirt-default-rootfs.tar.gz;4;0;4;3.86 MB;987.13 KB
/releases/17.01.2/targets/sunxi/generic/lede-17.01.2-sunxi-sun4i-a10-olinuxino-lime-squashfs-sdcard.img.gz;4;0;4;702.99 KB;175.75 KB
/releases/18.06.0/targets/at91/sama5d2/openwrt-18.06.0-at91-sama5d2-at91-sama5d2_ptc_ek-ext4-root.ubi.gz;4;0;4;2.83 MB;724.63 KB
/releases/19.07.0/targets/zynq/generic/openwrt-19.07.0-zynq-xlnx_zynq-zc702-squashfs-sdcard.img.gz;4;0;4;17.77 MB;4.44 MB
/releases/17.01.3/targets/zynq/generic/lede-17.01.3-zynq-zc702-uramdisk.image.gz;4;0;4;2.17 MB;556.65 KB
/releases/17.01.0-rc1/targets/ar71xx/nand/lede-17.01.0-rc1-r3042-ec095b5-ar71xx-nand-c-60-squashfs-sysupgrade.tar;4;0;4;6.46 MB;1.62 MB
/releases/17.01.5/targets/kirkwood/generic/lede-17.01.5-kirkwood-linksys-audi-squashfs-sysupgrade.tar;4;0;4;10.16 MB;2.54 MB
/releases/17.01.0/targets/at91/legacy/lede-17.01.0-r3205-59508e3-at91-legacy-default-rootfs.tar.gz;4;0;4;2.51 MB;641.60 KB
/releases/18.06.0/targets/omap/generic/openwrt-18.06.0-omap-omap3-beagle-ubifs-sdcard.img.gz;4;0;4;6.43 MB;1.61 MB
/releases/17.01.7/targets/x86/geode/lede-17.01.7-x86-geode-combined-ext4.img.gz;4;0;4;20.51 MB;5.13 MB
/releases/19.07.3/targets/at91/sam9x/openwrt-19.07.3-at91-sam9x-at91sam9m10g45ek-ext4-root.ubi.gz;4;0;4;3.08 MB;787.49 KB
/releases/19.07.3/targets/at91/sama5/openwrt-19.07.3-at91-sama5-rootfs.tar.gz;4;0;4;2.78 MB;712.55 KB
/releases/18.06.1/targets/omap/generic/openwrt-18.06.1-omap-omap4-panda-ubifs-sdcard.img.gz;4;0;4;9.69 MB;2.42 MB
/releases/17.01.5/targets/ar71xx/nand/lede-17.01.5-ar71xx-nand-r6100-squashfs-sysupgrade.tar;4;0;4;8.01 MB;2.00 MB
/releases/17.01.1/targets/ar71xx/nand/lede-17.01.1-ar71xx-nand-c-60-squashfs-sysupgrade.tar;4;0;4;6.39 MB;1.60 MB
/releases/17.01.0-rc1/targets/ar71xx/nand/lede-17.01.0-rc1-r3042-ec095b5-ar71xx-nand-nbg6716-squashfs-sysupgrade.tar;4;0;4;7.66 MB;1.91 MB
/releases/17.01.3/targets/sunxi/generic/lede-17.01.3-sunxi-sun5i-a13-olimex-som-ext4-sdcard.img.gz;4;0;4;5.44 MB;1.36 MB
/releases/18.06.1/targets/omap/generic/openwrt-18.06.1-omap-am335x-evm-ubifs-sdcard.img.gz;4;0;4;8.70 MB;2.18 MB
/releases/18.06.1/targets/omap/generic/openwrt-18.06.1-omap-omap3-beagle-ext4-sdcard.img.gz;4;0;4;7.37 MB;1.84 MB
/releases/19.07.0/targets/sunxi/cortexa7/openwrt-19.07.0-sunxi-cortexa7-sun7i-a20-olinuxino-lime-ext4-sdcard.img.gz;4;0;4;17.07 MB;4.27 MB
/releases/19.07.3/targets/sunxi/cortexa8/openwrt-19.07.3-sunxi-cortexa8-sun4i-a10-olinuxino-lime-ext4-sdcard.img.gz;4;0;4;6.03 MB;1.51 MB
/releases/17.01.0/targets/oxnas/generic/lede-17.01.0-r3205-59508e3-oxnas-akitio-ubifs-sysupgrade.tar;4;0;4;3.45 MB;883.75 KB
/releases/17.01.1/targets/x86/generic/lede-17.01.1-x86-generic-combined-ext4.img.gz;4;0;4;15.46 MB;3.87 MB
/releases/19.07.2/targets/mvebu/cortexa9/openwrt-19.07.2-mvebu-cortexa9-cznic_turris-omnia-sysupgrade.img.gz;4;0;4;9.27 MB;2.32 MB
/releases/19.07.0/targets/mvebu/cortexa9/omnia-medkit-openwrt-19.07.0-mvebu-cortexa9-cznic_turris-omnia-initramfs.tar.gz;4;0;4;15.30 MB;3.83 MB
/snapshots/faillogs/arm_arm1176jzf-s_vfp/packages/frr/host-compile.txt;4;0;4;47.70 KB;11.92 KB
/releases/19.07.2/targets/brcm2708/bcm2709/openwrt-19.07.2-brcm2708-bcm2709-rpi-2-squashfs-factory.img.gz;4;0;4;42.97 MB;10.74 MB
/releases/17.01.1/targets/sunxi/generic/lede-17.01.1-sunxi-sun6i-a31-m9-ext4-sdcard.img.gz;4;0;4;7.88 MB;1.97 MB
/releases/17.01.4/targets/apm821xx/sata/lede-17.01.4-apm821xx-sata-MyBookLiveDuo-ext4-rootfs.img.gz;4;0;4;15.97 MB;3.99 MB
/releases//19.07.3/targets/x86/64/openwrt-19.07.3-x86-64-generic-rootfs.tar.gz;4;3;7;20.06 MB;2.87 MB
/releases/17.01.4/targets/ar71xx/nand/lede-17.01.4-ar71xx-nand-r6100-squashfs-sysupgrade.tar;4;0;4;5.08 MB;1.27 MB
/releases/18.06.2/targets/at91/sama5d3/openwrt-18.06.2-at91-sama5d3-rootfs.tar.gz;4;0;4;2.34 MB;599.07 KB
/releases/19.07.1/targets/oxnas/ox820/openwrt-19.07.1-oxnas-ox820-cloudengines_pogoplugpro-squashfs-sysupgrade.tar;4;0;4;16.62 MB;4.16 MB
/releases/17.01.1/targets/sunxi/generic/lede-17.01.1-sunxi-sun7i-a20-olinuxino-micro-squashfs-sdcard.img.gz;4;0;4;4.50 MB;1.13 MB
/releases/18.06.1/targets/sunxi/cortexa7/openwrt-18.06.1-sunxi-cortexa7-sun7i-a20-cubieboard2-ext4-sdcard.img.gz;4;0;4;11.06 MB;2.77 MB
/releases/18.06.0-rc2/targets/ar71xx/nand/openwrt-18.06.0-rc2-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;12.21 MB;3.05 MB
/releases/18.06.2/targets/mvebu/cortexa9/omnia-medkit-openwrt-18.06.2-mvebu-cortexa9-turris-omnia-initramfs.tar.gz;4;6;10;5.71 MB;584.60 KB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun7i-a20-olinuxino-micro-ext4-sdcard.img.gz;4;0;4;6.23 MB;1.56 MB
/releases/19.07.1/targets/at91/sam9x/openwrt-19.07.1-at91-sam9x-lmu5000-ext4-factory.bin.gz;4;0;4;12.02 MB;3.01 MB
/releases/19.07.0/targets/sunxi/cortexa7/openwrt-19.07.0-sunxi-cortexa7-sun8i-h3-orangepi-plus-ext4-sdcard.img.gz;4;0;4;22.41 MB;5.60 MB
/releases/18.06.1/targets/sunxi/cortexa8/openwrt-18.06.1-sunxi-cortexa8-sun4i-a10-marsboard-ext4-sdcard.img.gz;4;0;4;10.93 MB;2.73 MB
/releases/17.01.4/targets/apm821xx/nand/lede-17.01.4-apm821xx-nand-mr24-squashfs-sysupgrade.tar;4;0;4;7.56 MB;1.89 MB
/releases/17.01.3/targets/sunxi/generic/lede-17.01.3-sunxi-sun8i-h3-orangepi-plus-ext4-sdcard.img.gz;4;0;4;5.12 MB;1.28 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-pogoplug-v3-squashfs-sysupgrade.tar;4;0;4;4.67 MB;1.17 MB
/releases/17.01.3/targets/brcm2708/bcm2710/lede-17.01.3-brcm2708-bcm2710-rpi-3-ext4-sdcard.img.gz;4;0;4;16.38 MB;4.09 MB
/releases/17.01.3/targets/mediatek/generic/lede-17.01.3-mediatek-NAND-squashfs-sysupgrade.tar;4;0;4;8.28 MB;2.07 MB
/releases/18.06.4/targets/gemini/generic/openwrt-18.06.4-gemini-nas4220b-hddapp.tgz;4;0;4;30.45 MB;7.61 MB
/releases/18.06.1/targets/ramips/mt7621/openwrt-18.06.1-ramips-mt7621-ubnt-erx-sfp-squashfs-sysupgrade.tar;4;0;4;9.36 MB;2.34 MB
/releases/17.01.4/targets/ar71xx/nand/lede-17.01.4-ar71xx-nand-mr18-squashfs-sysupgrade.tar;4;0;4;6.66 MB;1.66 MB
/releases/17.01.3/targets/at91/sama5d3/lede-17.01.3-at91-sama5d3-at91sama5d3xplained-rootfs.tar.gz;4;0;4;2.39 MB;611.51 KB
/releases/18.06.0-rc2/targets/ar71xx/nand/openwrt-18.06.0-rc2-ar71xx-nand-rambutan-squashfs-sysupgrade.tar;4;0;4;7.41 MB;1.85 MB
/releases/17.01.0-rc2/targets/ar71xx/nand/lede-17.01.0-rc2-r3131-42f3c1f-ar71xx-nand-mr18-squashfs-sysupgrade.tar;4;0;4;12.76 MB;3.19 MB
/releases/17.01.3/targets/omap/generic/lede-17.01.3-omap-default-rootfs.tar.gz;4;0;4;2.17 MB;556.57 KB
/releases/17.01.3/targets/ar71xx/nand/lede-17.01.3-ar71xx-nand-r6100-squashfs-sysupgrade.tar;4;0;4;5.26 MB;1.31 MB
/releases/19.07.1/targets/x86/legacy/openwrt-19.07.1-x86-legacy-combined-squashfs.img.gz;4;3;7;19.67 MB;2.81 MB
/releases/19.07.2/targets/sunxi/cortexa53/openwrt-19.07.2-sunxi-cortexa53-sun50i-h5-nanopi-neo2-squashfs-sdcard.img.gz;4;0;4;23.98 MB;5.99 MB
/releases/19.07.3/targets/oxnas/ox820/openwrt-19.07.3-oxnas-ox820-mitrastar_stg-212-squashfs-sysupgrade.tar;4;0;4;16.37 MB;4.09 MB
/releases/17.01.3/targets/kirkwood/generic/lede-17.01.3-kirkwood-pogo_e02-squashfs-sysupgrade.tar;4;0;4;3.54 MB;907.37 KB
/releases/18.06.0-rc2/targets/ar71xx/nand/openwrt-18.06.0-rc2-ar71xx-nand-c-60-squashfs-sysupgrade.tar;4;0;4;7.16 MB;1.79 MB
/releases/18.06.7/targets/x86/64/openwrt-18.06.7-x86-64-rootfs-ext4.img.gz;4;0;4;7.59 MB;1.90 MB
/releases/19.07.0/targets/arc770/generic/openwrt-19.07.0-arc770-generic-Default-sdcard-vfat-ext4.img.gz;4;0;4;17.61 MB;4.40 MB
/releases/17.01.4/targets/at91/sama5d3/lede-17.01.4-at91-sama5d3-at91sama5d3xplained-rootfs.tar.gz;4;0;4;2.55 MB;651.63 KB
/releases/17.01.2/targets/brcm2708/bcm2709/lede-17.01.2-brcm2708-bcm2709-rpi-2-ext4-sdcard.img.gz;4;0;4;7.32 MB;1.83 MB
/releases/17.01.3/targets/x86/64/lede-17.01.3-x86-64-rootfs-ext4.img.gz;4;0;4;3.45 MB;882.08 KB
/releases/17.01.1/targets/brcm2708/bcm2708/lede-17.01.1-brcm2708-bcm2708-rpi-ext4-sdcard.img.gz;4;0;4;15.93 MB;3.98 MB
/releases/17.01.0-rc1/targets/ar71xx/nand/lede-17.01.0-rc1-r3042-ec095b5-ar71xx-nand-z1-squashfs-sysupgrade.tar;4;0;4;9.67 MB;2.42 MB
/releases/17.01.0-rc1/targets/ar71xx/nand/lede-17.01.0-rc1-r3042-ec095b5-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;7.60 MB;1.90 MB
/releases/19.07.3/targets/apm821xx/sata/openwrt-19.07.3-apm821xx-sata-wd_mybooklive-ext4-factory.img.gz;4;0;4;19.82 MB;4.96 MB
/releases/17.01.0/targets/apm821xx/nand/lede-17.01.0-r3205-59508e3-apm821xx-nand-mr24-squashfs-sysupgrade.tar;4;0;4;6.77 MB;1.69 MB
/releases/19.07.3/targets/x86/generic/openwrt-19.07.3-x86-generic-rootfs-squashfs.img.gz;4;0;4;8.77 MB;2.19 MB
/releases/18.06.1/targets/sunxi/cortexa7/openwrt-18.06.1-sunxi-cortexa7-sun8i-h2-plus-orangepi-r1-ext4-sdcard.img.gz;4;0;4;15.96 MB;3.99 MB
/releases/17.01.4/targets/ar71xx/nand/lede-17.01.4-ar71xx-nand-c-60-squashfs-sysupgrade.tar;4;0;4;3.98 MB;1018.87 KB
/releases/17.01.2/targets/brcm2708/bcm2710/lede-17.01.2-brcm2708-bcm2710-rpi-3-ext4-sdcard.img.gz;4;0;4;16.64 MB;4.16 MB
/snapshots/faillogs/arm_cortex-a7_neon-vfpv4/packages/frr/host-compile.txt;4;0;4;47.70 KB;11.93 KB
/releases/17.01.2/targets/sunxi/generic/lede-17.01.2-sunxi-sun7i-a20-lamobo-r1-squashfs-sdcard.img.gz;4;0;4;5.18 MB;1.30 MB
/releases/17.01.3/targets/brcm2708/bcm2709/lede-17.01.3-brcm2708-bcm2709-rpi-2-ext4-sdcard.img.gz;4;0;4;7.20 MB;1.80 MB
/releases/19.07.0/targets/brcm2708/bcm2708/openwrt-19.07.0-brcm2708-bcm2708-rpi-ext4-factory.img.gz;4;14;18;35.66 MB;1.98 MB
/releases/19.07.0-rc1/targets/ar71xx/nand/openwrt-19.07.0-rc1-ar71xx-nand-vmlinux.lzma;4;0;4;2.90 MB;743.65 KB
/releases/18.06.4/targets/gemini/generic/openwrt-18.06.4-gemini-dns313-bootpart.tar.gz;4;0;4;6.98 MB;1.75 MB
/releases/19.07.2/targets/mvebu/cortexa72/openwrt-19.07.2-mvebu-cortexa72-marvell_armada7040-db-squashfs-sdcard.img.gz;4;0;4;13.43 MB;3.36 MB
/releases/17.01.3/targets/mvebu/generic/lede-17.01.3-mvebu-armada-388-clearfog-sdcard.img.gz;4;0;4;4.45 MB;1.11 MB
/releases/18.06.9/targets/brcm2708/bcm2710/openwrt-18.06.9-brcm2708-bcm2710-rpi-3-squashfs-factory.img.gz;4;0;4;31.25 MB;7.81 MB
/releases/19.07.3/targets/at91/sama5/openwrt-19.07.3-at91-sama5-at91-sama5d2_ptc_ek-ext4-root.ubi.gz;4;0;4;2.79 MB;714.17 KB
/releases/19.07.1/targets/x86/64/openwrt-19.07.1-x86-64-rootfs-ext4.img.gz;4;0;4;8.20 MB;2.05 MB
/releases/17.01.3/targets/ar71xx/nand/lede-17.01.3-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;4.71 MB;1.18 MB
/releases/19.07.0/targets/sunxi/cortexa7/openwrt-19.07.0-sunxi-cortexa7-sun8i-h2-plus-orangepi-r1-squashfs-sdcard.img.gz;4;0;4;19.06 MB;4.77 MB
/releases/17.01.3/targets/imx6/generic/lede-17.01.3-imx6-rootfs.tar.gz;4;0;4;2.42 MB;620.68 KB
/releases/18.06.1/targets/omap/generic/openwrt-18.06.1-omap-omap4-panda-ext4-sdcard.img.gz;4;0;4;9.50 MB;2.37 MB
/releases/19.07.0/targets/zynq/generic/openwrt-19.07.0-zynq-avnet_zynq-zed-squashfs-sdcard.img.gz;4;0;4;17.70 MB;4.43 MB
/releases/19.07.3/targets/oxnas/ox820/openwrt-19.07.3-oxnas-ox820-mitrastar_stg-212-ubifs-sysupgrade.tar;4;0;4;27.23 MB;6.81 MB
/releases/19.07.2/targets/brcm2708/bcm2710/openwrt-19.07.2-brcm2708-bcm2710-rpi-3-ext4-sysupgrade.img.gz;4;24;28;29.33 MB;1.05 MB
/releases/18.06.2/targets/sunxi/cortexa7/openwrt-18.06.2-sunxi-cortexa7-sun7i-a20-pcduino3-squashfs-sdcard.img.gz;4;0;4;14.61 MB;3.65 MB
/releases/18.06.4/targets/mvebu/cortexa9/openwrt-18.06.4-mvebu-cortexa9-turris-omnia-sysupgrade.img.gz;4;0;4;11.42 MB;2.86 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-kd20-squashfs-sysupgrade.tar;4;0;4;4.47 MB;1.12 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-akitio-ubifs-sysupgrade.tar;4;0;4;6.75 MB;1.69 MB
/releases/19.07.3/targets/omap/generic/openwrt-19.07.3-omap-ti_omap3-beagle-squashfs-sdcard.img.gz;4;0;4;6.31 MB;1.58 MB
/releases/17.01.0/targets/at91/sama5d3/lede-17.01.0-r3205-59508e3-at91-sama5d3-at91sama5d3xplained-rootfs.tar.gz;4;0;4;4.27 MB;1.07 MB
/releases/19.07.2/targets/ath25/generic/openwrt-19.07.2-ath25-generic-kernel.lzma;4;0;4;3.66 MB;935.77 KB
/releases/17.01.0/targets/oxnas/generic/lede-17.01.0-r3205-59508e3-oxnas-kd20-squashfs-sysupgrade.tar;4;0;4;3.58 MB;915.75 KB
/releases/18.06.0/targets/ar71xx/nand/openwrt-18.06.0-ar71xx-nand-mr18-squashfs-sysupgrade.tar;4;0;4;13.64 MB;3.41 MB
/releases/17.01.3/targets/imx6/generic/lede-17.01.3-imx6-ventana-squashfs-bootfs.tar.gz;4;0;4;2.31 MB;590.72 KB
/releases/18.06.6/targets/at91/sama5d2/openwrt-18.06.6-at91-sama5d2-at91-sama5d2_xplained-ext4-sdcard.img.gz;4;0;4;11.44 MB;2.86 MB
/releases/17.01.1/targets/armvirt/generic/lede-17.01.1-armvirt-root.squashfs.gz;4;0;4;2.87 MB;734.74 KB
/releases/17.01.7/targets/sunxi/generic/lede-17.01.7-sunxi-sun4i-a10-cubieboard-squashfs-sdcard.img.gz;4;0;4;8.34 MB;2.09 MB
/releases/17.01.3/targets/sunxi/generic/lede-17.01.3-sunxi-sun7i-a20-bananapi-squashfs-sdcard.img.gz;4;0;4;4.23 MB;1.06 MB
/releases/19.07.1/targets/at91/sam9x/openwrt-19.07.1-at91-sam9x-at91sam9g20ek_2mmc-ext4-zImage.gz;4;0;4;6.99 MB;1.75 MB
/releases/18.06.6/targets/x86/legacy/openwrt-18.06.6-x86-legacy-generic-rootfs.tar.gz;4;0;4;3.26 MB;835.48 KB
/releases/17.01.5/targets/ar71xx/nand/lede-17.01.5-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;10.32 MB;2.58 MB
/releases/18.06.0-rc2/targets/ar71xx/nand/openwrt-18.06.0-rc2-ar71xx-nand-wndr3700v4-squashfs-sysupgrade.tar;4;0;4;7.89 MB;1.97 MB
/releases/19.07.0-rc2/targets/x86/64/openwrt-19.07.0-rc2-x86-64-rootfs-squashfs.img.gz;4;0;4;11.30 MB;2.83 MB
/releases/17.01.0/targets/apm821xx/nand/lede-17.01.0-r3205-59508e3-apm821xx-nand-mx60w-squashfs-sysupgrade.tar;4;0;4;7.56 MB;1.89 MB
/releases/18.06.7/targets/x86/64/openwrt-18.06.7-x86-64-rootfs-squashfs.img.gz;4;0;4;4.04 MB;1.01 MB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun7i-a20-olinuxino-lime2-emmc-ext4-sdcard.img.gz;4;0;4;6.13 MB;1.53 MB
/releases/17.01.1/targets/armvirt/generic/lede-17.01.1-armvirt-rootfs.cpio.gz;4;0;4;3.85 MB;986.50 KB
/snapshots/faillogs/arm_cortex-a15_neon-vfpv4/packages/node/host-compile.txt;4;0;4;8.74 MB;2.19 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-pogoplug-pro-squashfs-sysupgrade.tar;4;0;4;3.80 MB;972.37 KB
/releases/19.07.2/targets/apm821xx/sata/openwrt-19.07.2-apm821xx-sata-wd_mybooklive-ext4-factory.img.gz;4;0;4;26.18 MB;6.55 MB
/releases/17.01.3/targets/brcm63xx/generic/lede-17.01.3-brcm63xx-generic-livebox-vmlinux.gz;4;0;4;1.83 MB;467.94 KB
/releases/18.06.6/targets/x86/generic/openwrt-18.06.6-x86-generic-combined-ext4.img.gz;4;0;4;15.61 MB;3.90 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-kd20-factory.tar.gz;4;0;4;4.77 MB;1.19 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-kd20-ubifs-sysupgrade.tar;4;0;4;7.86 MB;1.96 MB
/releases/19.07.3/targets/omap/generic/openwrt-19.07.3-omap-ti_am335x-evm-squashfs-sdcard.img.gz;4;0;4;6.48 MB;1.62 MB
/snapshots/faillogs/mipsel_74kc/packages/frr/host-compile.txt;4;0;4;47.70 KB;11.92 KB
/releases/18.06.0/targets/at91/sama5d2/openwrt-18.06.0-at91-sama5d2-at91-sama5d2_ptc_ek-ext4-zImage.gz;4;0;4;3.67 MB;938.32 KB
/releases/18.06.0-rc1/targets/ramips/mt7621/openwrt-18.06.0-rc1-ramips-mt7621-ubnt-erx-squashfs-sysupgrade.tar;4;0;4;6.54 MB;1.64 MB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun8i-h2-plus-orangepi-r1-ext4-sdcard.img.gz;4;11;15;16.47 MB;1.10 MB
/releases/17.01.3/targets/sunxi/generic/lede-17.01.3-sunxi-sun4i-a10-pcduino-squashfs-sdcard.img.gz;4;0;4;4.55 MB;1.14 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-akitio-squashfs-sysupgrade.tar;4;0;4;3.78 MB;966.87 KB
/releases/18.06.2/targets/ar71xx/nand/openwrt-18.06.2-ar71xx-nand-hiveap-121-squashfs-sysupgrade.tar;4;0;4;5.69 MB;1.42 MB
/releases/18.06.1/targets/at91/legacy/openwrt-18.06.1-at91-legacy-usb_a9260-ext4-factory.bin.gz;4;0;4;8.42 MB;2.11 MB
/releases/19.07.3/targets/at91/sam9x/openwrt-19.07.3-at91-sam9x-lmu5000-ext4-factory.bin.gz;4;0;4;6.35 MB;1.59 MB
/releases/18.06.0-rc2/targets/brcm2708/bcm2709/openwrt-18.06.0-rc2-brcm2708-bcm2709-rpi-2-ext4-sdcard.img.gz;4;18;22;18.68 MB;869.40 KB
/releases/18.06.1/targets/mvebu/cortexa53/openwrt-18.06.1-mvebu-cortexa53-globalscale-espressobin-ext4-sdcard.img.gz;4;0;4;18.50 MB;4.63 MB
/releases/19.07.2/targets/sunxi/cortexa53/openwrt-19.07.2-sunxi-cortexa53-sun50i-a64-pine64-plus-ext4-sdcard.img.gz;4;0;4;20.45 MB;5.11 MB
/releases/18.06.2/targets/x86/geode/openwrt-18.06.2-x86-geode-combined-squashfs.img.gz;4;0;4;18.80 MB;4.70 MB
/releases/17.01.4/targets/apm821xx/nand/lede-17.01.4-apm821xx-nand-WNDR4700-squashfs-sysupgrade.tar;4;0;4;7.26 MB;1.81 MB
/releases/19.07.0/targets/sunxi/cortexa7/openwrt-19.07.0-sunxi-cortexa7-sun7i-a20-olinuxino-micro-ext4-sdcard.img.gz;4;0;4;17.09 MB;4.27 MB
/releases/18.06.0/targets/at91/sama5d3/openwrt-18.06.0-at91-sama5d3-at91-sama5d3_xplained-ext4-sdcard.img.gz;4;0;4;16.98 MB;4.24 MB
/releases/18.06.1/targets/mvebu/cortexa9/openwrt-18.06.1-mvebu-cortexa9-armada-388-clearfog-pro-squashfs-sdcard.img.gz;4;0;4;9.43 MB;2.36 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-pogoplug-v3-ubifs-sysupgrade.tar;4;0;4;6.74 MB;1.68 MB
/releases/18.06.0/targets/ar71xx/nand/openwrt-18.06.0-ar71xx-nand-wndr3700v4-squashfs-sysupgrade.tar;4;0;4;13.68 MB;3.42 MB
/releases/19.07.0-rc2/targets/x86/generic/openwrt-19.07.0-rc2-x86-generic-combined-squashfs.img.gz;4;0;4;27.64 MB;6.91 MB
/releases/17.01.4/targets/ar71xx/nand/lede-17.01.4-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;9.10 MB;2.28 MB
/releases/17.01.3/targets/oxnas/generic/lede-17.01.3-oxnas-stg212-squashfs-sysupgrade.tar;4;0;4;3.95 MB;1012.37 KB
/releases/18.06.3/targets/x86/legacy/openwrt-18.06.3-x86-legacy-combined-squashfs.img.gz;4;32;36;20.13 MB;572.58 KB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun8i-h3-orangepi-pc-plus-ext4-sdcard.img.gz;4;0;4;11.44 MB;2.86 MB
/releases/17.01.0/targets/ramips/mt7621/lede-17.01.0-r3205-59508e3-ramips-mt7621-ubnt-erx-squashfs-sysupgrade.tar;4;0;4;6.00 MB;1.50 MB
/releases/17.01.3/targets/zynq/generic/lede-17.01.3-zynq-rootfs.tar.gz;4;0;4;2.02 MB;517.17 KB
/releases/19.07.3/targets/omap/generic/openwrt-19.07.3-omap-ti_am335x-bone-black-squashfs-sdcard.img.gz;4;0;4;6.11 MB;1.53 MB
/releases/18.06.3/targets/sunxi/cortexa8/openwrt-18.06.3-sunxi-cortexa8-sun5i-a13-olinuxino-squashfs-sdcard.img.gz;4;0;4;9.80 MB;2.45 MB
/releases/18.06.7/targets/at91/legacy/openwrt-18.06.7-at91-legacy-at91sam9263ek-ext4-zImage.gz;4;0;4;9.61 MB;2.40 MB
/releases/19.07.3/targets/at91/sam9x/openwrt-19.07.3-at91-sam9x-at91sam9263ek-ext4-root.ubi.gz;4;0;4;3.17 MB;811.53 KB
/releases/18.06.1/targets/omap/generic/openwrt-18.06.1-omap-am335x-boneblack-ext4-sdcard.img.gz;4;0;4;13.87 MB;3.47 MB
/releases/18.06.0/targets/ar71xx/nand/openwrt-18.06.0-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;13.60 MB;3.40 MB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun7i-a20-cubietruck-squashfs-sdcard.img.gz;4;0;4;8.58 MB;2.14 MB
/releases/19.07.3/targets/sunxi/cortexa7/openwrt-19.07.3-sunxi-cortexa7-sun8i-h3-nanopi-m1-plus-ext4-sdcard.img.gz;4;0;4;9.85 MB;2.46 MB
/releases/19.07.3/targets/ar71xx/nand/openwrt-19.07.3-ar71xx-nand-wndr4300-squashfs-sysupgrade.tar;4;0;4;13.77 MB;3.44 MB
/releases/19.07.0/targets/sunxi/cortexa53/openwrt-19.07.0-sunxi-cortexa53-sun50i-a64-sopine-baseboard-ext4-sdcard.img.gz;4;0;4;27.09 MB;6.77 MB
/releases/18.06.5/targets/mvebu/cortexa9/openwrt-18.06.5-mvebu-cortexa9-turris-omnia-sysupgrade.img.gz;4;0;4;10.85 MB;2.71 MB
/releases/17.01.2/targets/sunxi/generic/lede-17.01.2-sunxi-sun5i-a13-olimex-som-squashfs-sdcard.img.gz;4;0;4;654.99 KB;163.75 KB
/releases/17.01.0/targets/oxnas/generic/lede-17.01.0-r3205-59508e3-oxnas-stg212-ubifs-sysupgrade.tar;4;0;4;3.70 MB;947.75 KB
/releases/19.07.3/targets/at91/sama5/openwrt-19.07.3-at91-sama5-at91-sama5d4_xplained-ext4-root.ubi.gz;4;0;4;5.03 MB;1.26 MB
/releases/19.07.0/targets/brcm2708/bcm2708/openwrt-19.07.0-brcm2708-bcm2708-rpi-squashfs-sysupgrade.img.gz;4;0;4;31.28 MB;7.82 MB
/releases/18.06.0-rc2/targets/x86/64/openwrt-18.06.0-rc2-x86-64-combined-squashfs.img.gz;4;0;4;22.41 MB;5.60 MB
/releases/18.06.0/targets/at91/sama5d2/openwrt-18.06.0-at91-sama5d2-at91-sama5d2_ptc_ek-ext4-sdcard.img.gz;4;0;4;6.41 MB;1.60 MB
/releases/17.01.3/targets/ramips/mt7621/lede-17.01.3-ramips-mt7621-ubnt-erx-squashfs-sysupgrade.tar;4;0;4;3.34 MB;853.91 KB
/releases/19.07.0/targets/zynq/generic/openwrt-19.07.0-zynq-digilent_zynq-zybo-z7-squashfs-sdcard.img.gz;4;0;4;17.68 MB;4.42 MB
/releases/19.07.3/targets/mvebu/cortexa9/openwrt-19.07.3-mvebu-cortexa9-solidrun_clearfog-base-a1-squashfs-sdcard.img.gz;4;0;4;9.83 MB;2.46 MB
